子域名,出现次数,URL示例（管道符分隔）
duro-last.com,12,https://duro-last.com/warehouse/?utm_source=chatgpt.com|https://duro-last.com/retail/?utm_source=chatgpt.com|https://duro-last.com/specifiers/?utm_source=chatgpt.com|https://duro-last.com/roll-goods/?utm_source=chatgpt.com|https://duro-last.com/fleece-back/?utm_source=chatgpt.com|https://duro-last.com/about/?utm_source=chatgpt.com|https://duro-last.com/duro-tech-tpo/?utm_source=chatgpt.com|https://duro-last.com/duro-tuff/?utm_source=chatgpt.com|https://duro-last.com/duro-life-600/?utm_source=chatgpt.com|https://duro-last.com/dlx/?utm_source=chatgpt.com|https://duro-last.com/duro-last-membrane/?utm_source=chatgpt.com|https://duro-last.com/?utm_source=chatgpt.com
apac.soprema.com,12,https://apac.soprema.com/duo-bitumen-waterproofing-made-different/?utm_source=chatgpt.com|https://apac.soprema.com/waterproofing/?utm_source=chatgpt.com|https://apac.soprema.com/?utm_source=chatgpt.com|https://apac.soprema.com/list/product/Waterproofing/?utm_source=chatgpt.com|https://apac.soprema.com/innovation/?utm_source=chatgpt.com|https://apac.soprema.com/product/colphene-bsw-v-699/?utm_source=chatgpt.com|https://apac.soprema.com/list/product/Complementary%20Solutions/?utm_source=chatgpt.com|https://apac.soprema.com/product/sopravapr-774/?utm_source=chatgpt.com|https://apac.soprema.com/list/product/Waterproofing/?order_by=alpha&search_per_page=all&utm_source=chatgpt.com|https://apac.soprema.com/product/colphene-3000-799/?utm_source=chatgpt.com|https://apac.soprema.com/product/soprasun-plus-3-1555/?utm_source=chatgpt.com|https://apac.soprema.com/product/aerisol-vp-40-15-1540/?utm_source=chatgpt.com
www.holcimelevate.com,11,https://www.holcimelevate.com/dach-en/roofing/epdm/rubbergard-epdm?utm_source=chatgpt.com|https://www.holcimelevate.com/content/fsbp/us/en.html?utm_source=chatgpt.com|https://www.holcimelevate.com/turkey-en/roofing/?utm_source=chatgpt.com|https://www.holcimelevate.com/content/fsbp/us/en/roofing.html?utm_source=chatgpt.com|https://www.holcimelevate.com/content/fsbp/ca/en/roofing/tpo-roofing-systems/ultraply-tpo-sa-secure-bond-technology.html?utm_source=chatgpt.com|https://www.holcimelevate.com/middle-east-en/roofing?utm_source=chatgpt.com|https://www.holcimelevate.com/uk-en/about-us/history?utm_source=chatgpt.com|https://www.holcimelevate.com/content/fsbp/us/en/roofing/tpo-roofing-systems.html?utm_source=chatgpt.com|https://www.holcimelevate.com/dach-en?utm_source=chatgpt.com|https://www.holcimelevate.com/italy-en?utm_source=chatgpt.com|https://www.holcimelevate.com/uk-en/roofing?utm_source=chatgpt.com
www.siplast.com,10,https://www.siplast.com/technologies/amenity-deck-assemblies?utm_source=chatgpt.com|https://www.siplast.com/solutions/below-grade-waterproofing?utm_source=chatgpt.com|https://www.siplast.com/document-library/documents/Brochure%20and%20Bulletin/siplast_guaranteed_roofs_contractors_repair_guide_literature.pdf?utm_source=chatgpt.com|https://www.siplast.com/blog/building-enclosure/an-introduction-to-air-and-water-resistive-barriers-a12db8b3-7757-4537-8036-640e2411e119?utm_source=chatgpt.com|https://www.siplast.com/webops-test/wallcontrol-monolith-vp-announcement?utm_source=chatgpt.com|https://www.siplast.com/systems/teraproof-protection-cs1000?utm_source=chatgpt.com|https://www.siplast.com/systems/teranap-loose-laid-and-torch-applied-laps?utm_source=chatgpt.com|https://www.siplast.com/systems/paracoat?utm_source=chatgpt.com|https://www.siplast.com/systems/paratread?utm_source=chatgpt.com|https://www.siplast.com/systems/single-ply-pvc-tpo?utm_source=chatgpt.com
rpm.rcabc.org,9,https://rpm.rcabc.org/index.php?title=Standard_for_SBS-Modified_Bitumen_Membrane_Systems&utm_source=chatgpt.com|https://rpm.rcabc.org/index.php?title=SBS_Introduction&utm_source=chatgpt.com|https://rpm.rcabc.org/index.php/Category%3A5.0_Before_Delete?utm_source=chatgpt.com|https://rpm.rcabc.org/index.php?title=Template%3AAll_Systems_-_MEMBRANES_SBS&utm_source=chatgpt.com|https://rpm.rcabc.org/index.php?title=Waterproofing_Guide_Specifications_%282-Ply_SBS_Membrane_Systems%29&utm_source=chatgpt.com
www.scribd.com,9,https://www.scribd.com/document/485372245/Memo-097-7-122719-Item-454-Tunnel-Waterproofing?utm_source=chatgpt.com|https://www.scribd.com/document/399181264/Waterproofing-Solutions?utm_source=chatgpt.com|https://www.scribd.com/document/840904642/07-52-16-SBS-Modified-Bituminous-Membrane-Roofing?utm_source=chatgpt.com|https://www.scribd.com/document/356185562/repair-guide?utm_source=chatgpt.com|https://www.scribd.com/document/489201283/mod-bit-membrane-roofing-09-2020?utm_source=chatgpt.com|https://www.scribd.com/document/428944015/1-Roofing-Standard?utm_source=chatgpt.com|https://www.scribd.com/document/354487164/Method-Statement-Wet-Areas-600-N?utm_source=chatgpt.com|https://www.scribd.com/document/250174496/ITA-Design-Guidelines-Waterproofing?utm_source=chatgpt.com
store.astm.org,9,https://store.astm.org/d4977_d4977m-20r25.html?utm_source=chatgpt.com|https://store.astm.org/d4977_d4977m-03r19.html?utm_source=chatgpt.com|https://store.astm.org/d4977_d4977m-03r13e01.html?utm_source=chatgpt.com|https://store.astm.org/d4977-98b.html?utm_source=chatgpt.com|https://store.astm.org/standards/d4977?utm_source=chatgpt.com|https://store.astm.org/d4977-03.html?utm_source=chatgpt.com|https://store.astm.org/d4977_d4977m-20.html?utm_source=chatgpt.com|https://store.astm.org/d6162_d6162m-21.html?utm_source=chatgpt.com|https://store.astm.org/d6164_d6164m-21.html?utm_source=chatgpt.com
www.carlislesyntec.com,9,https://www.carlislesyntec.com/en/Roofing-Products/Membranes/TPO?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/Resources/Media/Blog-Landing-Page/SpecTopics/2023/02/28/SpecTips-A-New-Membrane-Option-for-Mechanically-Fastened-Single-Ply-Roof-Systems?utm_source=chatgpt.com|https://www.carlislesyntec.com/About-Carlisle/About-Us?utm_source=chatgpt.com|https://www.carlislesyntec.com/Document-Viewer/manufacturing-capabilities-sell-sheet/g4I8btlQSQmZfOFivDsOTw?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/About-Carlisle/Strategic-Accounts/Data-Centers?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/Roofing-Products/Membranes/FleeceBACK?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/Resources/Media/Blog-Landing-Page/SpecTopics/2019/09/09/Welcome-to-SpecTopics?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/Professionals/Applicators/Applicator-Incentive-Programs/ESP?utm_source=chatgpt.com|https://www.carlislesyntec.com/en/Professionals/Architect-Resources/BIM-Library?utm_source=chatgpt.com
www.energy.gov,8,https://www.energy.gov/cmei/femp/purchasing-energy-efficient-cool-roof-products?utm_source=chatgpt.com|https://www.energy.gov/nepa/articles/cx-032987-low-cost-durable-and-resistant-radiative-cooling-roof-enhanced-energy?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/zeb-technologies-building-envelope-architectural-considerations?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/articles/cberd-building-envelopes?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/articles/accelerated-aging-roofing-materials?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/articles/cool-asphalt-shingles?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/articles/urban-heat-islands-anti-soiling-cool-roof-coatings?utm_source=chatgpt.com|https://www.energy.gov/cmei/buildings/articles/fluorescent-pigments-high-performance-cool-roofing-and-facades?utm_source=chatgpt.com
gcc.sika.com,6,https://gcc.sika.com/en/construction/waterproofing/sheet-membrane/sikaproof-adhesive-01.html?utm_source=chatgpt.com|https://gcc.sika.com/en/construction/waterproofing/sheet-membrane/sikaproof-a-plus-08.html?utm_source=chatgpt.com|https://gcc.sika.com/en/construction/waterproofing/sheet-membrane/sikaproof-p-1201system.html?utm_source=chatgpt.com|https://gcc.sika.com/en/construction/waterproofing/sheet-membrane/sikaproof-730-pa.html?utm_source=chatgpt.com|https://gcc.sika.com/en/construction/waterproofing/sheet-membrane/sikaproof-a-12.html?utm_source=chatgpt.com|https://gcc.sika.com/en/construction/waterproofing/bituminous-sheetmembrane.html?utm_source=chatgpt.com
qa.siplast.com,5,https://qa.siplast.com/building-owners/responsible-roof-maintenance?utm_source=chatgpt.com|https://qa.siplast.com/blog/roofing/liquid-comes-in-two-forms-liquid-applied-roof-membranes-vs-roof-coatings-281474980400730?utm_source=chatgpt.com|https://qa.siplast.com/contractors?utm_source=chatgpt.com|https://qa.siplast.com/building-owners?utm_source=chatgpt.com
patents.google.com,5,https://patents.google.com/patent/US20210332593A1/en?utm_source=chatgpt.com|https://patents.google.com/patent/US20180155931A1/en?utm_source=chatgpt.com|https://patents.google.com/patent/US20130065020A1/en?utm_source=chatgpt.com|https://patents.google.com/patent/US5380552A/en?utm_source=chatgpt.com|https://patents.google.com/patent/US5206068A/en?utm_source=chatgpt.com
